Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
14233 Promenade,21009128.,Homrich,$17466.00,11/26/2017,No,4,42.413559,-82.972632,"location
(42.413559, -82.972632)",Outer Drive-Hayes
14662 Terry,22043003.,Salenbien Trucking & Excavating Inc.,$13591.00,12/19/2017,No,1,42.396782,-83.191394,"location
(42.396782, -83.191394)",Hubbell-Lyndon
14810 Terry,22043005.,Salenbien Trucking & Excavating Inc.,$9867.00,12/19/2017,No,1,42.397107,-83.191409,"location
(42.397107, -83.191409)",Hubbell-Lyndon
14811 Terry,22043046.,Salenbien Trucking & Excavating Inc.,$13810.00,12/19/2017,No,1,42.397091,-83.191964,"location
(42.397091, -83.191964)",Hubbell-Lyndon
14629 Terry,22043053.,Salenbien Trucking & Excavating Inc.,$10809.00,12/19/2017,No,1,42.396293,-83.191929,"location
(42.396293, -83.191929)",Hubbell-Lyndon
14621 Terry,22043054.,Salenbien Trucking & Excavating Inc.,$9697.00,12/19/2017,No,1,42.396197,-83.191925,"location
(42.396197, -83.191925)",Hubbell-Lyndon
14241 Promenade,21009129.,Homrich,$17875.00,11/26/2017,No,4,42.413606,-82.972503,"location
(42.413606, -82.972503)",Outer Drive-Hayes
14265 Promenade,21009132.,Homrich,$11152.00,11/26/2017,No,4,42.413747,-82.972114,"location
(42.413747, -82.972114)",Outer Drive-Hayes
14303 Promenade,21009137.,Homrich,$21295.00,11/26/2017,No,4,42.413979,-82.97147,"location
(42.413979, -82.97147)",Outer Drive-Hayes
14449 Promenade,21009145.,Homrich,$17218.00,11/26/2017,No,4,42.414157,-82.969414,"location
(42.414157, -82.969414)",Outer Drive-Hayes
14491 Promenade,21009150.,Homrich,$38555.00,11/26/2017,No,4,42.414127,-82.968657,"location
(42.414127, -82.968657)",Outer Drive-Hayes
14499 Promenade,21009151.,Homrich,$28607.00,11/26/2017,No,4,42.414122,-82.968527,"location
(42.414122, -82.968527)",Outer Drive-Hayes
14505 Promenade,21009152.,Homrich,$15483.00,11/26/2017,No,4,42.414117,-82.968398,"location
(42.414117, -82.968398)",Outer Drive-Hayes
14911 Promenade,21009163.,Homrich,$13630.00,11/26/2017,No,4,42.413993,-82.966597,"location
(42.413993, -82.966597)",Outer Drive-Hayes
