Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
1958 Geneva,08005486.,"Adamo Group, Inc.",$9359.00,10/15/2014,No,2,42.413712,-83.11989,"1958 Geneva
(42.413712, -83.11989)",Martin Park
19586 Dresden,21034744.,"Adamo Group, Inc.",$11059.74,08/13/2014,No,3,42.439442,-82.999637,"19586 Dresden
(42.439442, -82.999637)",Pulaski
19592 Rowe,21035842.,Homrich,$14844.40,08/11/2014,No,3,42.439457,-83.003289,"19592 Rowe
(42.439457, -83.003289)",Pulaski
19595 Rowe,21035963.,Able Demolition,$14089.50,02/10/2017,No,3,42.43944,-83.003995,"19595 Rowe
(42.43944, -83.003995)",Pulaski
1960 Calvert,08003259.,Homrich,$22600.00,11/10/2015,No,5,42.382711,-83.105247,"1960 Calvert
(42.382711, -83.105247)",Dexter-Linwood
1960 Mcpherson,09005313-25,"Adamo Group, Inc.",$12948.00,06/02/2015,No,3,42.403989,-83.072337,"1960 Mcpherson
(42.403989, -83.072337)",Campau/Banglatown
19600 Bradford,21035085.,Able Demolition,$12471.99,04/18/2016,No,3,42.439624,-83.000863,"19600 Bradford
(42.439624, -83.000863)",Pulaski
19601 Hoover,17013882.,"Adamo Group, Inc.",$17390.96,08/07/2014,No,3,42.438793,-83.005179,"19601 Hoover
(42.438793, -83.005179)",Pulaski
19601 Lyndon,22009913-4,Rickman Enterprise Group,$17450.00,10/09/2015,No,1,42.393252,-83.234921,"19601 Lyndon
(42.393252, -83.234921)",Westwood Park
19601 Runyon,17014706.,DMC Consultants,$10880.00,05/12/2016,No,3,42.438732,-83.00724,"19601 Runyon
(42.438732, -83.00724)",Pulaski
19601 Sawyer,22000990.,Homrich,$9954.60,08/19/2014,No,7,42.346599,-83.233232,"19601 Sawyer
(42.346599, -83.233232)",Warrendale
19602 Charest,13023520.,DMC Consultants,$11235.00,08/18/2015,No,3,42.438017,-83.071216,"19602 Charest
(42.438017, -83.071216)",Pershing
19603 Concord,15011347.,Rickman Enterprise Group,$19210.00,04/08/2016,No,3,42.438794,-83.033369,"19603 Concord
(42.438794, -83.033369)",Nortown
19607 Bradford,21035207.,Able Demolition,$10337.35,04/19/2016,No,3,42.439694,-83.001556,"19607 Bradford
(42.439694, -83.001556)",Pulaski
19608 Mitchell,13023818.,"Direct Construction Services, LLC",$9969.22,05/16/2016,No,3,42.438084,-83.072211,"19608 Mitchell
(42.438084, -83.072211)",Pershing
19609 Dresden,21034861.,"Adamo Group, Inc.",$16053.25,08/16/2014,No,3,42.439743,-83.000339,"19609 Dresden
(42.439743, -83.000339)",Pulaski
19609 Rowe,21035961.,Homrich,$11254.66,08/07/2014,No,3,42.439659,-83.004004,"19609 Rowe
(42.439659, -83.004004)",Pulaski
1961 Dearing,09006184.,Able Demolition,$25819.00,02/15/2016,No,3,42.408894,-83.075611,"1961 Dearing
(42.408894, -83.075611)",Campau/Banglatown
1961 Highland,08003880.,Able Demolition,$5252.00,05/05/2014,No,5,42.389919,-83.110186,"1961 Highland
(42.389919, -83.110186)",Dexter-Linwood
19610 Anglin,13024250.,"Adamo Group, Inc.",$13151.00,06/02/2015,No,3,42.438056,-83.07454,"19610 Anglin
(42.438056, -83.07454)",Pershing
19610 Hoover,21036302.,"Adamo Group, Inc.",$9887.97,09/05/2014,No,3,42.438879,-83.0045,"19610 Hoover
(42.438879, -83.0045)",Pulaski
19611 Anglin,13024394.,Able Demolition,$15340.39,05/18/2016,No,3,42.438061,-83.075253,"19611 Anglin
(42.438061, -83.075253)",Pershing
19611 Carrie,15008436.,Homrich,$10156.43,07/28/2014,No,3,42.438948,-83.031244,"19611 Carrie
(42.438948, -83.031244)",Nortown
19611 Runyon,17014705.,Jenkins Construction,$6725.00,07/24/2015,No,3,42.438837,-83.007244,"19611 Runyon
(42.438837, -83.007244)",Pulaski
19613 Teppert,17015069.,MCM,$13641.72,08/06/2014,No,3,42.438802,-83.008289,"19613 Teppert
(42.438802, -83.008289)",Pulaski
19614 Tireman,22001686-8,Homrich,$12360.00,07/18/2016,No,7,42.350634,-83.233595,"19614 Tireman
(42.350634, -83.233595)",Warrendale
19615 Charest,13023675.,Able Demolition,$7979.00,05/16/2016,No,3,42.43818,-83.071785,"19615 Charest
(42.43818, -83.071785)",Pershing
19616 Bradford,21035087.,Farrow Group,$13134.55,12/05/2014,No,3,42.439844,-83.000872,"19616 Bradford
(42.439844, -83.000872)",Pulaski
19617 Anvil,21029245.,Smalley,$2475.00,09/13/2016,No,3,42.440063,-82.978288,"19617 Anvil
(42.440063, -82.978288)",Franklin
19617 Carrie,15008435.,Homrich,$11200.14,07/28/2014,No,3,42.439057,-83.031247,"19617 Carrie
(42.439057, -83.031247)",Nortown
19617 Dresden,21034860.,"Adamo Group, Inc.",$12906.01,08/21/2014,No,3,42.439853,-83.000343,"19617 Dresden
(42.439853, -83.000343)",Pulaski
19619 Runyon,17014704.,MCM,$12055.16,08/05/2014,No,3,42.438933,-83.007246,"19619 Runyon
(42.438933, -83.007246)",Pulaski
19619 Waltham,21032840.,Rickman Enterprise Group,$15670.00,07/29/2015,No,3,42.439993,-82.99539,"19619 Waltham
(42.439993, -82.99539)",Pulaski
19620 Justine,13018843.,DMC Consultants,$7991.00,03/29/2016,No,3,42.438509,-83.058766,"19620 Justine
(42.438509, -83.058766)",Farwell
19620 Regent Dr,21055604.,Rickman Enterprise Group,$10830.00,08/02/2015,No,3,42.440134,-82.975238,"19620 Regent Dr
(42.440134, -82.975238)",Franklin
19620 Tireman,22001684-5,DMC Consultants,$11025.00,06/15/2016,No,7,42.350632,-83.233752,"19620 Tireman
(42.350632, -83.233752)",Warrendale
19621 Cameron,09022028-9,"Adamo Group, Inc.",$27826.00,10/09/2015,No,3,42.437829,-83.094074,"19621 Cameron
(42.437829, -83.094074)",Nolan
19622 Anvil,21029234.,RDC Construction Services,$10900.00,08/13/2015,No,3,42.440129,-82.977682,"19622 Anvil
(42.440129, -82.977682)",Franklin
19625 Binder,13021345.,Rickman Enterprise Group,$5450.00,04/12/2016,No,3,42.438444,-83.064727,"19625 Binder
(42.438444, -83.064727)",Pershing
19625 Hamburg,21033947.,Timesavers Contracting,$12790.00,07/11/2015,No,3,42.440033,-82.997903,"19625 Hamburg
(42.440033, -82.997903)",Pulaski
19625 Rowe,21035959.,Homrich,$12626.44,08/07/2014,No,3,42.439879,-83.004013,"19625 Rowe
(42.439879, -83.004013)",Pulaski
19627 Hoover,17013878-9,"Adamo Group, Inc.",$12081.75,08/23/2014,No,3,42.43913,-83.005189,"19627 Hoover
(42.43913, -83.005189)",Pulaski
19630 Tireman,22001681-2,"Adamo Group, Inc.",$12616.98,05/07/2015,No,7,42.350629,-83.233974,"19630 Tireman
(42.350629, -83.233974)",Warrendale
19632 Annott,21035483.,"Adamo Group, Inc.",$16506.38,08/06/2014,No,3,42.440047,-83.002109,"19632 Annott
(42.440047, -83.002109)",Pulaski
