date,district,latitude,longitude
07/22/2015,4,42.413522,-82.996635
02/06/2015,7,42.377965,-83.13095
01/11/2016,4,42.405312,-82.989936
08/21/2014,3,42.441969,-83.003563
03/14/2016,3,42.41064,-83.040058
08/24/2015,4,42.403856,-82.988952
08/16/2015,4,42.410741,-82.99465
08/29/2014,7,42.374346,-83.245333
06/10/2015,7,42.376544,-83.16109
08/10/2015,7,42.375121,-83.17771
08/17/2015,7,42.375189,-83.177712
08/18/2014,5,42.385304,-83.096552
08/29/2014,7,42.374625,-83.244689
02/24/2017,7,42.375337,-83.156064
06/02/2014,1,42.393668,-83.256083
07/06/2015,7,42.376116,-83.155915
02/28/2017,7,42.375888,-83.155989
11/21/2014,4,42.402721,-82.987575
11/03/2015,3,42.411066,-83.039555
07/23/2015,3,42.426989,-83.002287
03/02/2017,7,42.375914,-83.156054
05/27/2015,5,42.374373,-83.089227
01/29/2015,6,42.336131,-83.102229
11/06/2015,4,42.419369,-82.999271
06/30/2016,4,42.41171,-82.994271
10/28/2014,4,42.423067,-82.959398
05/22/2015,6,42.336522,-83.101463
03/23/2016,4,42.427452,-82.949339
09/04/2014,4,42.4225,-82.960426
09/10/2014,4,42.42741,-82.948574
08/04/2014,3,42.441998,-83.002194
11/18/2015,4,42.411092,-82.992446
09/15/2014,5,42.387918,-83.09854
06/16/2016,4,42.422584,-82.960363
03/25/2016,3,42.442002,-83.002046
09/17/2015,1,42.392206,-83.257013
08/27/2015,4,42.423652,-82.958186
08/05/2014,3,42.427627,-83.001039
08/07/2015,7,42.376593,-83.156407
05/08/2014,5,42.38523,-83.096751
07/22/2015,6,42.265653,-83.155134
07/22/2015,7,42.37679,-83.156963
05/05/2014,5,42.388342,-83.098919
07/23/2014,6,42.305292,-83.119077
03/18/2016,4,42.42522,-82.955131
09/22/2014,5,42.379045,-83.092851
07/15/2014,6,42.305487,-83.118574
05/27/2015,5,42.374638,-83.089719
05/21/2016,6,42.309084,-83.109628
12/28/2016,7,42.376358,-83.147342
09/29/2015,7,42.374172,-83.240945
08/14/2014,3,42.427043,-83.000541
09/23/2015,7,42.374304,-83.231119
09/25/2014,7,42.374235,-83.234219
06/04/2015,3,42.442026,-83.001113
08/01/2014,3,42.407725,-83.0675
05/11/2016,4,42.411205,-82.992124
05/05/2016,7,42.374382,-83.225751
08/08/2014,7,42.374253,-83.233016
01/16/2014,4,42.407211,-82.989317
08/03/2015,6,42.279512,-83.14622
04/01/2016,6,42.279095,-83.145314
08/06/2016,3,42.427047,-83.000398
08/05/2015,7,42.375828,-83.167891
09/06/2014,7,42.374325,-83.234747
08/21/2015,4,42.403909,-82.987288
05/20/2016,4,42.427938,-82.948174
08/18/2014,7,42.374366,-83.240416
06/03/2016,4,42.419711,-82.998302
01/05/2015,5,42.388294,-83.099052
05/19/2016,6,42.310593,-83.105963
06/02/2016,6,42.28101,-83.149439
03/29/2016,7,42.374483,-83.232316
