date,district,latitude,longitude
11/19/2017,1,42.390606,-83.184748
11/19/2017,1,42.390825,-83.184758
11/01/2017,1,42.391834,-83.184799
11/01/2017,1,42.395456,-83.184955
11/26/2017,4,42.412594,-82.973842
11/26/2017,4,42.412292,-82.974711
11/26/2017,4,42.412158,-82.975093
11/26/2017,4,42.410834,-82.97891
11/26/2017,4,42.410313,-82.980405
11/26/2017,4,42.410271,-82.980522
11/26/2017,4,42.410149,-82.980874
11/26/2017,5,42.378303,-83.003069
11/26/2017,5,42.373861,-82.999551
09/25/2017,5,42.372869,-82.999518
11/26/2017,4,42.411779,-82.965361
11/26/2017,4,42.411275,-82.970993
11/26/2017,4,42.4105,-82.973144
11/26/2017,4,42.410379,-82.973497
11/13/2017,7,42.385171,-83.141329
11/06/2017,4,42.401389,-82.989922
11/06/2017,4,42.401343,-82.990056
11/06/2017,4,42.401297,-82.99019
11/06/2017,4,42.401682,-82.99061
11/06/2017,4,42.401774,-82.990341
10/02/2017,1,42.393259,-83.18587
10/02/2017,1,42.393808,-83.185891
10/02/2017,1,42.397987,-83.186072
10/02/2017,1,42.40236,-83.186264
11/26/2017,4,42.413283,-82.968117
11/26/2017,4,42.413265,-82.967729
11/26/2017,4,42.413631,-82.967916
11/26/2017,4,42.413693,-82.968827
11/26/2017,4,42.413113,-82.972349
10/03/2017,1,42.402597,-83.188131
11/13/2017,4,42.416305,-82.977579
11/13/2017,2,42.400251,-83.16465
11/13/2017,2,42.401005,-83.16469
09/22/2017,2,42.407039,-83.16569
10/05/2017,1,42.396973,-83.184584
10/05/2017,1,42.396539,-83.184565
11/26/2017,5,42.376371,-82.998879
11/13/2017,4,42.386324,-82.999912
11/13/2017,4,42.417934,-82.974019
11/13/2017,4,42.417129,-82.97631
11/13/2017,4,42.417089,-82.976427
11/14/2017,6,42.338317,-83.141099
11/13/2017,7,42.377875,-83.142717
11/06/2017,5,42.372788,-82.99561
11/06/2017,5,42.374741,-82.997005
11/06/2017,5,42.37547,-82.99752
12/19/2017,4,42.387699,-82.963533
12/19/2017,4,42.388054,-82.963764
12/19/2017,4,42.388313,-82.963934
12/19/2017,1,42.395502,-83.189369
10/06/2017,1,42.399081,-83.189522
09/25/2017,5,42.375232,-82.999843
11/26/2017,5,42.376039,-83.000427
11/26/2017,5,42.376497,-83.000751
11/26/2017,5,42.378666,-83.002313
11/26/2017,5,42.378884,-83.00247
11/13/2017,5,42.380401,-83.003569
11/13/2017,7,42.373604,-83.189637
11/13/2017,7,42.375887,-83.189742
11/13/2017,5,42.386231,-83.006511
11/26/2017,5,42.377352,-82.998851
11/26/2017,5,42.378962,-82.999978
11/26/2017,5,42.37962,-83.000438
11/26/2017,5,42.379693,-83.000489
11/13/2017,5,42.382453,-83.002424
11/13/2017,4,42.38017,-82.993491
11/26/2017,4,42.407486,-82.964741
11/13/2017,4,42.380954,-82.992082
11/13/2017,4,42.380806,-82.991983
11/13/2017,4,42.380732,-82.991935
11/13/2017,4,42.380584,-82.991837
11/19/2017,3,42.43274,-83.023025
11/19/2017,3,42.432748,-83.022636
11/19/2017,3,42.436352,-82.986087
11/13/2017,7,42.397112,-83.161227
11/13/2017,2,42.400341,-83.161381
11/13/2017,2,42.401372,-83.16143
10/29/2017,2,42.403354,-83.1622
09/22/2017,2,42.403244,-83.162196
11/13/2017,2,42.401258,-83.162056
11/13/2017,2,42.399976,-83.161997
10/29/2017,2,42.403156,-83.171852
11/13/2017,5,42.385711,-83.008417
11/13/2017,5,42.384986,-83.007892
11/13/2017,5,42.383041,-83.006486
11/13/2017,5,42.381752,-83.005297
11/26/2017,5,42.378521,-83.003226
09/26/2017,4,42.407476,-82.987098
11/26/2017,4,42.409527,-82.981215
11/13/2017,4,42.40823,-82.972894
11/06/2017,4,42.402455,-82.989688
11/06/2017,4,42.402106,-82.990706
11/13/2017,4,42.408807,-82.992533
11/13/2017,4,42.409226,-82.991327
11/13/2017,4,42.409271,-82.991201
11/13/2017,4,42.409932,-82.989297
11/26/2017,4,42.416062,-82.96507
10/06/2017,1,42.407899,-83.193776
10/25/2017,4,42.40644,-82.986716
